0 1 2
973962287907266566 1 10
973961760041586688 0 28
973956076231188482 0 86
973953581203238912 0 13
973953494930640896 0 30
973952027448545281 458 5791
973662556500918273 1 450
973659427273347073 3 212
973644840343887872 7 297
973590145218809856 26484 158092
973551408321527811 0 5
973349042628460544 0 22
973228704355713028 2 466
973227172419833856 11305 79928
973224504687284225 0 47
973131113047773184 0 42
972981458339074048 18532 91883
972961971363598342 14 673
972175501770088448 0 95
972166027680407553 4 533
972165380952162305 4060 23297
971544454241964034 17257 109781
971451815907811328 16 3008
971075700043247616 8998 64684
970826879249862658 13 583
970826573615128576 0 29
970748525222027264 1186 6813
970720794077736960 5228 43750
970718356327321601 0 12
970703360746811392 0 18
970696053010980865 13705 0
970103884843769856 5086 43620
969765216065064960 1479 25331
969734775580839937 1 7
969636091044220928 0 3
969629355264610304 5724 39541
969624300855623680 0 3
969394815136882688 2 128
969394117938696192 6394 52281
969364839889100801 39102 0
969256345349345280 9 711
969255976049303553 0 6
969030957352345601 8414 60551
968955027820773376 0 6
968912399565803520 0 15
968895980610482177 5980 53401
968754832722022401 1 31
968572185160888321 7 496
968551737899606017 6024 50448
968176034674855936 9878 70542
967919560790863879 4596 45821
967549260848910337 3352 39836
